geographic_entity,state,constituency,matched_pc_id,matched_pc_name,mapping_status,coordinate_type,geo_source,validation_status,reason
"BIRBHUM, West Bengal",West Bengal,BIRBHUM,1942,Birbhum,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"JOYNAGAR(SC), West Bengal",West Bengal,JOYNAGAR(SC),1919,Jaynagar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"RAJNANDGAON, Chhattisgarh",Chhattisgarh,RAJNANDGAON,2206,Rajnandgaon,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"TIRUPATI(SC), Andhra Pradesh",Andhra Pradesh,TIRUPATI(SC),2840,Tirupati,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SAGAR, Madhya Pradesh",Madhya Pradesh,SAGAR,2305,Sagar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"PATNA SAHIB, Bihar",Bihar,PATNA SAHIB,1030,Patna Sahib,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"ANAND, Gujarat",Gujarat,ANAND,2416,Anand,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MANDLA(ST), Madhya Pradesh",Madhya Pradesh,MANDLA(ST),2314,Mandla,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MACHHLISHAHR(SC), Uttar Pradesh",Uttar Pradesh,MACHHLISHAHR(SC),974,Machhlishahr,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KANCHEEPURAM(SC), Tamil Nadu",Tamil Nadu,KANCHEEPURAM(SC),3306,Kancheepuram,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"AONLA, Uttar Pradesh",Uttar Pradesh,AONLA,924,Aonla,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BILASPUR, Chhattisgarh",Chhattisgarh,BILASPUR,2205,Bilaspur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MATHURAPUR(SC), West Bengal",West Bengal,MATHURAPUR(SC),1920,Mathurapur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BUXAR, Bihar",Bihar,BUXAR,1033,Buxar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"ANANDPUR SAHIB, Punjab",Punjab,ANANDPUR SAHIB,306,Anandpur Sahib,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BHARATPUR(SC), Rajasthan",Rajasthan,BHARATPUR(SC),809,Bharatpur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"HATHRAS (SC), Uttar Pradesh",Uttar Pradesh,HATHRAS (SC),916,Hathras,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MAHASAMUND, Chhattisgarh",Chhattisgarh,MAHASAMUND,2209,Mahasamund,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SALEMPUR, Uttar Pradesh",Uttar Pradesh,SALEMPUR,971,Salempur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KALAHANDI, Odisha",Odisha,KALAHANDI,2111,Kalahandi,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"AMRITSAR, Punjab",Punjab,AMRITSAR,302,Amritsar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SHIMLA (SC), Himachal Pradesh",Himachal Pradesh,SHIMLA (SC),204,Shimla,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"HARDOI (SC), Uttar Pradesh",Uttar Pradesh,HARDOI (SC),931,Hardoi,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MANDSOUR, Madhya Pradesh",Madhya Pradesh,MANDSOUR,2323,Mandsaur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"HOSHIARPUR(SC), Punjab",Punjab,HOSHIARPUR(SC),305,Hoshiarpur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"DIAMOND HARBOUR, West Bengal",West Bengal,DIAMOND HARBOUR,1921,Diamond Harbour,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"RAIGARH(ST), Chhattisgarh",Chhattisgarh,RAIGARH(ST),2202,Raigarh,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"JAIPUR, Rajasthan",Rajasthan,JAIPUR,807,Jaipur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KHAJURAHO, Madhya Pradesh",Madhya Pradesh,KHAJURAHO,2308,Khajuraho,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"DEORIA, Uttar Pradesh",Uttar Pradesh,DEORIA,966,Deoria,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"NAGAUR, Rajasthan",Rajasthan,NAGAUR,814,Nagaur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"TAMLUK, West Bengal",West Bengal,TAMLUK,1930,Tamluk,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"ERODE, Tamil Nadu",Tamil Nadu,ERODE,3317,Erode,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BAHARAMPUR, West Bengal",West Bengal,BAHARAMPUR,1910,Baharampur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"PURVI CHAMPARAN, Bihar",Bihar,PURVI CHAMPARAN,1003,Purvi Champaran,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SIDHI, Madhya Pradesh",Madhya Pradesh,SIDHI,2311,Sidhi,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BETUL(ST), Madhya Pradesh",Madhya Pradesh,BETUL(ST),2329,Betul,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"CHANDAULI, Uttar Pradesh",Uttar Pradesh,CHANDAULI,976,Chandauli,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"DHULE, Maharashtra",Maharashtra,DHULE,2702,Dhule,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MAHARAJGANJ_UP, Uttar Pradesh",Uttar Pradesh,MAHARAJGANJ_UP,963,Maharajganj,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"TEHRI GARHWAL, Uttarakhand",Uttarakhand,TEHRI GARHWAL,501,Tehri Garhwal,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"UNNAO, Uttar Pradesh",Uttar Pradesh,UNNAO,933,Unnao,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"TURA, Meghalaya",Meghalaya,TURA,1702,Tura,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"ARANI, Tamil Nadu",Tamil Nadu,ARANI,3312,Arani,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KHANDWA, Madhya Pradesh",Madhya Pradesh,KHANDWA,2328,Khandwa,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"OUTER MANIPUR(ST), Manipur",Manipur,OUTER MANIPUR(ST),1402,Outer Manipur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"TIRUVANNAMALAI, Tamil Nadu",Tamil Nadu,TIRUVANNAMALAI,3311,Tiruvannamalai,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KANPUR, Uttar Pradesh",Uttar Pradesh,KANPUR,943,Kanpur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
