geographic_entity,state,constituency,matched_pc_id,matched_pc_name,mapping_status,coordinate_type,geo_source,validation_status,reason
"HAMIRPUR_HP, Himachal Pradesh",Himachal Pradesh,HAMIRPUR_HP,203,Hamirpur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BIKANER(SC), Rajasthan",Rajasthan,BIKANER(SC),802,Bikaner,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"HAMIRPUR_UP, Uttar Pradesh",Uttar Pradesh,HAMIRPUR_UP,947,Hamirpur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"ARAKU(ST), Andhra Pradesh",Andhra Pradesh,ARAKU(ST),2818,Araku,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"INDORE, Madhya Pradesh",Madhya Pradesh,INDORE,2326,Indore,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KURUKSHETRA, Haryana",Haryana,KURUKSHETRA,602,Kurukshetra,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"TIRUPPUR, Tamil Nadu",Tamil Nadu,TIRUPPUR,3318,Tiruppur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BARMER, Rajasthan",Rajasthan,BARMER,817,Barmer,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"JALORE, Rajasthan",Rajasthan,JALORE,818,Jalore,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"ETAWAH(SC), Uttar Pradesh",Uttar Pradesh,ETAWAH(SC),941,Etawah,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KISHANGANJ, Bihar",Bihar,KISHANGANJ,1010,Kishanganj,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MUZAFFARNAGAR, Uttar Pradesh",Uttar Pradesh,MUZAFFARNAGAR,903,Muzaffarnagar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"ROHTAK, Haryana",Haryana,ROHTAK,607,Rohtak,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"NAMAKKAL, Tamil Nadu",Tamil Nadu,NAMAKKAL,3316,Namakkal,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KACHCHH(SC), Gujarat",Gujarat,KACHCHH(SC),2401,Kachchh,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"TIRUVALLUR(SC), Tamil Nadu",Tamil Nadu,TIRUVALLUR(SC),3301,Thiruvallur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"ROBERTSGANJ(SC), Uttar Pradesh",Uttar Pradesh,ROBERTSGANJ(SC),980,Robertsganj,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"UJJAIN(SC), Madhya Pradesh",Madhya Pradesh,UJJAIN(SC),2322,Ujjain,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"THANJAVUR, Tamil Nadu",Tamil Nadu,THANJAVUR,3330,Thanjavur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MUZAFFARPUR, Bihar",Bihar,MUZAFFARPUR,1015,Muzaffarpur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"PURNEA, Bihar",Bihar,PURNEA,1012,Purnia,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KALLAKURICHI, Tamil Nadu",Tamil Nadu,KALLAKURICHI,3314,Kallakurichi,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KAUSHAMBI(SC), Uttar Pradesh",Uttar Pradesh,KAUSHAMBI(SC),950,Kaushambi,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"JHUNJHUNU, Rajasthan",Rajasthan,JHUNJHUNU,804,Jhunjhunu,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BAGALKOT, Karnataka",Karnataka,BAGALKOT,2903,Bagalkot,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"HOWRAH, West Bengal",West Bengal,HOWRAH,1925,Howrah,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BHILWARA, Rajasthan",Rajasthan,BHILWARA,823,Bhilwara,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KOPPAL, Karnataka",Karnataka,KOPPAL,2908,Koppal,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MACHILIPATNAM, Andhra Pradesh",Andhra Pradesh,MACHILIPATNAM,2828,Machilipatnam,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"JHANSI, Uttar Pradesh",Uttar Pradesh,JHANSI,946,Jhansi,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"DHAURAHRA, Uttar Pradesh",Uttar Pradesh,DHAURAHRA,929,Dhaurahra,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"CUDDALORE, Tamil Nadu",Tamil Nadu,CUDDALORE,3326,Cuddalore,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KHAGARIA, Bihar",Bihar,KHAGARIA,1025,Khagaria,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MATHURA, Uttar Pradesh",Uttar Pradesh,MATHURA,917,Mathura,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"LALGANJ (SC), Uttar Pradesh",Uttar Pradesh,LALGANJ (SC),968,Lalganj,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"UDUPI CHIKMAGALUR, Karnataka",Karnataka,UDUPI CHIKMAGALUR,2915,Udupi Chikmagalur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MISRIKH(SC), Uttar Pradesh",Uttar Pradesh,MISRIKH(SC),932,Misrikh,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SANGRUR, Punjab",Punjab,SANGRUR,312,Sangrur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"HISAR, Haryana",Haryana,HISAR,604,Hisar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"LUCKNOW, Uttar Pradesh",Uttar Pradesh,LUCKNOW,935,Lucknow,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SUPAUL, Bihar",Bihar,SUPAUL,1008,Supaul,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"NEW DELHI, Delhi",Delhi,NEW DELHI,704,New Delhi,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"THIRUVANANTHAPURAM, Kerala",Kerala,THIRUVANANTHAPURAM,3220,Thiruvananthapuram,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"HOOGHLY, West Bengal",West Bengal,HOOGHLY,1928,Hooghly,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"JHARGRAM(ST), West Bengal",West Bengal,JHARGRAM(ST),1933,Jhargram,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"DAHOD(ST), Gujarat",Gujarat,DAHOD(ST),2419,Dahod,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KASARAGOD, Kerala",Kerala,KASARAGOD,3201,Kasaragod,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"NOWGONG, Assam",Assam,NOWGONG,1810,Nowgong,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BHAVNAGAR, Gujarat",Gujarat,BHAVNAGAR,2415,Bhavnagar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"UDHAMPUR, Jammu And Kashmir",Jammu And Kashmir,UDHAMPUR,105,Udhampur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BARABANKI(SC), Uttar Pradesh",Uttar Pradesh,BARABANKI(SC),953,Barabanki,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MADHUBANI, Bihar",Bihar,MADHUBANI,1006,Madhubani,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"RAMANATHAPURAM, Tamil Nadu",Tamil Nadu,RAMANATHAPURAM,3335,Ramanathapuram,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"JADAVPUR, West Bengal",West Bengal,JADAVPUR,1922,Jadavpur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SITAPUR, Uttar Pradesh",Uttar Pradesh,SITAPUR,930,Sitapur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"Sonitpur, Assam",Assam,Sonitpur,1809,Tezpur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"OSMANABAD, Maharashtra",Maharashtra,OSMANABAD,2740,Osmanabad,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"LOHARDAGA(ST), Jharkhand",Jharkhand,LOHARDAGA(ST),2012,Lohardaga,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BHARUCH, Gujarat",Gujarat,BHARUCH,2422,Bharuch,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SRIKAKULAM, Andhra Pradesh",Andhra Pradesh,SRIKAKULAM,2819,Srikakulam,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BALLIA, Uttar Pradesh",Uttar Pradesh,BALLIA,972,Ballia,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KUSHI NAGAR, Uttar Pradesh",Uttar Pradesh,KUSHI NAGAR,965,Kushi Nagar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BANGALORE RURAL, Karnataka",Karnataka,BANGALORE RURAL,2923,Bangalore Rural,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"VADODARA, Gujarat",Gujarat,VADODARA,2420,Vadodara,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"CHELVELLA, Telangana",Telangana,CHELVELLA,2810,Chevella,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SIWAN, Bihar",Bihar,SIWAN,1018,Siwan,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"HAVERI, Karnataka",Karnataka,HAVERI,2910,Haveri,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"DAVANAGERE, Karnataka",Karnataka,DAVANAGERE,2913,Davangere,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"GONDA, Uttar Pradesh",Uttar Pradesh,GONDA,959,Gonda,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"INNER MANIPUR, Manipur",Manipur,INNER MANIPUR,1401,Inner Manipur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"RATLAM(ST), Madhya Pradesh",Madhya Pradesh,RATLAM(ST),2324,Ratlam,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"FAIZABAD, Uttar Pradesh",Uttar Pradesh,FAIZABAD,954,Faizabad,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SHIMOGA, Karnataka",Karnataka,SHIMOGA,2914,Shimoga,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SURENDRANAGAR, Gujarat",Gujarat,SURENDRANAGAR,2409,Surendranagar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BANGALORE SOUTH, Karnataka",Karnataka,BANGALORE SOUTH,2926,Bangalore South,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"PARBHANI, Maharashtra",Maharashtra,PARBHANI,2717,Parbhani,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SHILLONG, Meghalaya",Meghalaya,SHILLONG,1701,Shillong,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"PERAMBALUR, Tamil Nadu",Tamil Nadu,PERAMBALUR,3325,Perambalur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"ARAMBAG(SC), West Bengal",West Bengal,ARAMBAG(SC),1929,Arambagh,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"DAKSHINA KANNADA, Karnataka",Karnataka,DAKSHINA KANNADA,2917,Dakshina Kannada,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"GHAZIPUR, Uttar Pradesh",Uttar Pradesh,GHAZIPUR,975,Ghazipur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BHAGALPUR, Bihar",Bihar,BHAGALPUR,1026,Bhagalpur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"GHOSI, Uttar Pradesh",Uttar Pradesh,GHOSI,970,Ghosi,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MORADABAD, Uttar Pradesh",Uttar Pradesh,MORADABAD,906,Moradabad,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"JAMMU, Jammu And Kashmir",Jammu And Kashmir,JAMMU,106,Jammu,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KADAPA, Andhra Pradesh",Andhra Pradesh,KADAPA,2838,Kadapa,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"GOPALGANJ (SC), Bihar",Bihar,GOPALGANJ (SC),1017,Gopalganj,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"THOOTHUKKUDI, Tamil Nadu",Tamil Nadu,THOOTHUKKUDI,3336,Thoothukudi,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"PATAN, Gujarat",Gujarat,PATAN,2403,Patan,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KORAPUT(ST), Odisha",Odisha,KORAPUT(ST),2121,Koraput,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SIRSA(SC), Haryana",Haryana,SIRSA(SC),603,Sirsa,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KARUR, Tamil Nadu",Tamil Nadu,KARUR,3323,Karur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BADAUN, Uttar Pradesh",Uttar Pradesh,BADAUN,923,Badaun,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SRIPERUMBUDUR, Tamil Nadu",Tamil Nadu,SRIPERUMBUDUR,3305,Sriperumbudur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MURSHIDABAD, West Bengal",West Bengal,MURSHIDABAD,1911,Murshidabad,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MAHABUBNAGAR, Telangana",Telangana,MAHABUBNAGAR,2811,Mahabubnagar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"JUNAGADH, Gujarat",Gujarat,JUNAGADH,2413,Junagadh,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"RAJSAMAND, Rajasthan",Rajasthan,RAJSAMAND,822,Rajsamand,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"LATUR(SC), Maharashtra",Maharashtra,LATUR(SC),2741,Latur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BALURGHAT, West Bengal",West Bengal,BALURGHAT,1906,Balurghat,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"VIRUDHUNAGAR, Tamil Nadu",Tamil Nadu,VIRUDHUNAGAR,3334,Virudhunagar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"WARANGEL(SC), Telangana",Telangana,WARANGEL(SC),2815,Warangal,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MAVAL, Maharashtra",Maharashtra,MAVAL,2733,Maval,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BALAGHAT, Madhya Pradesh",Madhya Pradesh,BALAGHAT,2315,Balaghat,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"AKOLA, Maharashtra",Maharashtra,AKOLA,2706,Akola,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BHADOHI, Uttar Pradesh",Uttar Pradesh,BHADOHI,978,Bhadohi,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"ALMORA(SC), Uttarakhand",Uttarakhand,ALMORA(SC),503,Almora,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BANGALORE NORTH, Karnataka",Karnataka,BANGALORE NORTH,2924,Bangalore North,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KHEDA, Gujarat",Gujarat,KHEDA,2417,Kheda,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"GURDASPUR, Punjab",Punjab,GURDASPUR,301,Gurdaspur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MEDAK, Telangana",Telangana,MEDAK,2806,Medak,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KURNOOL, Andhra Pradesh",Andhra Pradesh,KURNOOL,2835,Kurnool,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BAHRAICH(SC), Uttar Pradesh",Uttar Pradesh,BAHRAICH(SC),956,Bahraich,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"TUMKUR, Karnataka",Karnataka,TUMKUR,2919,Tumkur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BULANDSHAHR(SC), Uttar Pradesh",Uttar Pradesh,BULANDSHAHR(SC),914,Bulandshahr,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"LUDHIANA, Punjab",Punjab,LUDHIANA,307,Ludhiana,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"NAINITAL UDHAM SINGH NAG., Uttarakhand",Uttarakhand,NAINITAL UDHAM SINGH NAG.,504,Nainital-Udhamsingh Nagar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"GHATAL, West Bengal",West Bengal,GHATAL,1932,Ghatal,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"PALAMU(SC), Jharkhand",Jharkhand,PALAMU(SC),2013,Palamu,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"VILUPPURAM(SC), Tamil Nadu",Tamil Nadu,VILUPPURAM(SC),3313,Viluppuram,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MAHESANA, Gujarat",Gujarat,MAHESANA,2404,Mahesana,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"REWA, Madhya Pradesh",Madhya Pradesh,REWA,2310,Rewa,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"VALMIKI NAGAR, Bihar",Bihar,VALMIKI NAGAR,1001,Valmiki Nagar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"HINDUPUR, Andhra Pradesh",Andhra Pradesh,HINDUPUR,2837,Hindupur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"DARBHANGA, Bihar",Bihar,DARBHANGA,1014,Darbhanga,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"PHULPUR, Uttar Pradesh",Uttar Pradesh,PHULPUR,951,Phulpur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"UTTARA KANNADA, Karnataka",Karnataka,UTTARA KANNADA,2912,Uttara Kannada,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BARDHAMAN PURBA(SC), West Bengal",West Bengal,BARDHAMAN PURBA(SC),1938,Bardhaman Purba,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KANDHAMAL, Odisha",Odisha,KANDHAMAL,2113,Kandhamal,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"CUTTACK, Odisha",Odisha,CUTTACK,2114,Cuttack,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KOLKATA UTTAR, West Bengal",West Bengal,KOLKATA UTTAR,1924,Kolkata Uttar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KHERI, Uttar Pradesh",Uttar Pradesh,KHERI,928,Kheri,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BHOPAL, Madhya Pradesh",Madhya Pradesh,BHOPAL,2319,Bhopal,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"AKBARPUR, Uttar Pradesh",Uttar Pradesh,AKBARPUR,944,Akbarpur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"NELLORE(SC), Andhra Pradesh",Andhra Pradesh,NELLORE(SC),2839,Nellore,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"JAUNPUR, Uttar Pradesh",Uttar Pradesh,JAUNPUR,973,Jaunpur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"DEWAS(SC), Madhya Pradesh",Madhya Pradesh,DEWAS(SC),2321,Dewas,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KANKER(ST), Chhattisgarh",Chhattisgarh,KANKER(ST),2211,Kanker,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"DHARAMAPURI, Tamil Nadu",Tamil Nadu,DHARAMAPURI,3310,Dharmapuri,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"AMALAPURAM(SC), Andhra Pradesh",Andhra Pradesh,AMALAPURAM(SC),2824,Amalapuram,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BEED, Maharashtra",Maharashtra,BEED,2739,Beed,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SANGLI, Maharashtra",Maharashtra,SANGLI,2744,Sangli,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
